pdf_name,page_number,pdfplumber_table_found,img2table_table_found,tabula_table_found,paddle_max_probabilities,microsoft_max_probabilities,table_found
Hotels_and_Resturants_QSA_AnBu_AE_2016,23,False,True,False,0.38767195,0.6489930748939514,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,24,False,False,False,0.0,0.859200119972229,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,34,False,False,False,0.0,0.859200119972229,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,35,False,False,False,0.6460985,0.721729576587677,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,36,False,False,False,0.0,0.859200119972229,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,46,False,False,False,0.0,0.859200119972229,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,47,False,False,False,0.0,0.8342792987823486,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,48,False,False,False,0.0,0.859200119972229,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,58,False,False,False,0.0,0.859200119972229,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,59,False,True,False,0.32886606,0.7552714943885803,False
Environment_11_2019_AE,1,False,False,False,0.0,0.6563438177108765,False
Environment_11_2019_AE,2,True,False,False,0.31113017,0.4896146357059479,False
Environment_11_2019_AE,5,False,True,True,0.9767491,0.6925970911979675,False
Environment_11_2019_AE,8,False,True,False,0.94158596,0.647190272808075,False
Environment_11_2019_AE,21,False,True,False,0.98670036,0.7231898307800293,False
Environment_11_2019_AE,23,False,False,False,0.9788789,0.0,False
Environment_11_2019_AE,32,False,False,False,0.9716846,0.0,False
Media_cul_Tourism_8-2014_AE,1,False,False,False,0.0,0.6785878539085388,False
Media_cul_Tourism_8-2014_AE,2,False,True,False,0.0,0.6852343082427979,False
Media_cul_Tourism_8-2014_AE,4,False,True,True,0.9852992,0.5766388177871704,False
vital_statistics_3_2017_AE,1,False,False,False,0.0,0.6225851774215698,False
vital_statistics_3_2017_AE,2,False,False,False,0.47355688,0.4915103912353515,False
vital_statistics_3_2017_AE,4,False,True,False,0.97327113,0.5080575942993164,False
vital_statistics_3_2017_AE,9,False,True,False,0.98576987,0.9554877281188964,False
vital_statistics_3_2017_AE,12,False,True,True,0.93108,0.4557984173297882,False
vital_statistics_3_2017_AE,14,False,True,False,0.8954039,0.7605187296867371,False
vital_statistics_3_2017_AE,16,False,True,False,0.98404104,0.5029273629188538,False
vital_statistics_3_2017_AE,18,False,True,True,0.9859015,0.566699206829071,False
vital_statistics_3_2017_AE,23,False,True,True,0.98540217,0.6275104880332947,False
vital_statistics_3_2017_AE,27,False,True,False,0.0,0.3601760268211365,False
vital_statistics_3_2017_AE,33,False,True,False,0.9190982,0.4385244250297546,False
vital_marriage_divorce_qatar_2019_AE,1,False,True,False,0.0,0.8101720213890076,False
vital_marriage_divorce_qatar_2019_AE,2,False,False,False,0.0,0.8536534309387207,False
vital_marriage_divorce_qatar_2019_AE,3,False,False,False,0.0,0.0,False
vital_marriage_divorce_qatar_2019_AE,9,False,False,False,0.9697328,0.0,False
vital_marriage_divorce_qatar_2019_AE,10,False,False,False,0.0,0.3658419549465179,False
vital_marriage_divorce_qatar_2019_AE,11,False,False,True,0.0,0.4169706702232361,False
vital_marriage_divorce_qatar_2019_AE,12,False,True,False,0.0,0.4837309420108795,False
vital_marriage_divorce_qatar_2019_AE,13,False,True,False,0.54124236,0.0,False
